City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
210,Sao Joao Da Barra,BR,76.08,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
211,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
212,Kalmunai,LK,78.64,overcast clouds,7.4167,81.8167,VS Villa
213,Lompoc,US,74.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
214,Katobu,ID,74.82,broken clouds,-4.9408,122.5276,La Ode Husein
215,Maryville,US,69.3,scattered clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
216,Balkhash,KZ,49.19,clear sky,46.844,74.9804,Family
218,Veraval,IN,79.65,clear sky,20.9,70.3667,Lords Inn Somnath
219,Xichang,CN,59.97,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
220,Tonantins,BR,73.96,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
222,Malaryta,BY,49.19,overcast clouds,51.7905,24.074,охотбаза Орехово
224,Palampur,IN,62.04,broken clouds,32.1167,76.5333,FLB Resorts Jerry's Jungle Huts
225,Novo Aripuana,BR,76.32,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
227,Virarajendrapet,IN,66.7,overcast clouds,12.2,75.8,Orchid Inn
229,Sungairaya,ID,77.72,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
230,Hualmay,PE,70.29,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
231,Kamina,CD,65.12,overcast clouds,-8.7386,24.9906,Guest House Florvia
233,Aguimes,ES,62.65,scattered clouds,27.9054,-15.4461,Hotel Villa de Aguimes
235,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
238,Gongzhuling,CN,40.15,clear sky,43.5008,124.8198,如家旅馆
241,Pacific Grove,US,63.41,overcast clouds,36.6177,-121.9166,Lovers Point Inn
242,Voh,NC,78.26,broken clouds,-20.9667,164.7,Le gîte du Koniambo
243,Bereda,ES,50.14,clear sky,43.2686,-7.5406,Pazo de Verdes
249,Lahan,NP,79.02,clear sky,26.7296,86.4951,Bhattarai Residence
252,Beitbridge,ZW,75.97,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
254,Plettenberg Bay,ZA,59.68,light rain,-34.0527,23.3716,Thanda Vista B&B
255,Peniche,PT,58.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
257,Cacoal,BR,75.54,heavy intensity rain,-11.4386,-61.4472,Hotel BR 364
259,Tashigang,BT,60.76,few clouds,27.3331,91.5542,Lingkhar Lodge
263,Raudeberg,NO,41.67,clear sky,61.9875,5.1352,Nordre Silda.
264,Lugo,ES,49.48,clear sky,43.0,-7.5,Hotel Torre de Núñez
268,Bowen,AU,75.67,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
269,Vavatenina,MG,71.44,few clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
270,Vanimo,PG,79.18,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
271,Umm Lajj,SA,73.06,clear sky,25.0213,37.2685,Moon light Furnished Units
272,Sungaipenuh,ID,64.31,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
273,Sucua,EC,77.74,light rain,-2.4667,-78.1667,Hotel Orellana
275,Kualakapuas,ID,73.58,broken clouds,-3.0091,114.3876,Guest House Izonk
279,Hasaki,JP,52.2,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
281,Katsuura,JP,51.82,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
282,Jalu,LY,72.82,broken clouds,29.0331,21.5482,صاحبة الفخامة
283,Yulara,AU,69.64,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
284,Kaitangata,NZ,55.2,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
286,Huangchuan,CN,53.19,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
291,Amurrio,ES,55.47,clear sky,43.05,-3.0,Hotel Restaurante Aldama
292,Padang,ID,77.7,overcast clouds,-0.9492,100.3543,Mercure Padang
296,Myitkyina,MM,67.68,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
298,Los Llanos De Aridane,ES,62.35,few clouds,28.6585,-17.9182,Valle Aridane
299,Lumphat,KH,75.18,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
302,Mizdah,LY,63.27,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
303,Husavik,IS,40.05,overcast clouds,66.0449,-17.3389,Bjarnabúð
